title,genres,types,cast,director
Hollow Man,"['Action', 'Science Fiction', 'Thriller']",Action ScienceFiction Thriller killing humanexperimentation scientist invisibleman scienceexperiment,"['Kevin Bacon', 'Elisabeth Shue', 'Josh Brolin', 'Kim Dickens', 'Rhona Mitra', 'Greg Grunberg', 'Joey Slotnick', 'Mary Randle', 'William Devane', 'Pablo Espinosa']",Paul Verhoeven
The Interpreter,"['Crime', 'Thriller']",Crime Thriller newyork dictator africa destructionofacivilization assassination resistance revenge murder unitednations witnesstomurder fbiagent resistancefighter,"['Nicole Kidman', 'Sean Penn', 'Catherine Keener', 'Jesper Christensen', 'Yvan Attal', 'Earl Cameron', 'George Harris', 'Michael Wright', 'Clyde Kusatsu', 'Eric Keenleyside', 'Hugo Speer', 'Maz Jobrani', 'Yusuf Gatewood', 'Curtiss Cook', 'Byron Utley', 'Robert Clohessy', 'Terry Serpico', 'Vladimir Bibic', 'David Zayas', 'Pat Kiernan', 'Margot Staub']",Sydney Pollack
Percy Jackson: Sea of Monsters,"['Adventure', 'Family', 'Fantasy']",Adventure Family Fantasy poison hermes poseidon demigod goldenfleece olympus 3d kronos overthrowolympus basedonyoungadultnovel,"['Logan Lerman', 'Alexandra Daddario', 'Douglas Smith', 'Leven Rambin', 'Brandon T. Jackson', 'Jake Abel', 'Grey Damon', 'Paloma Kwiatkowski', 'Anthony Stewart Head', 'Stanley Tucci', 'Nathan Fillion', 'Derek Mears', 'Robert Maillet', 'Ron Perlman', 'Connor Dunn', 'Alisha Newton', 'Bjorn Yearwood', 'Samuel Braun', 'Katelyn Mager', 'Yvette Nicole Brown', 'Missi Pyle', 'Octavia Spencer']",Thor Freudenthal
Lara Croft Tomb Raider: The Cradle of Life,"['Action', 'Adventure', 'Fantasy', 'Thriller']",Action Adventure Fantasy Thriller riddle treasure medallion kenia alexanderthegreat pandora'sbox chinesemafia treasurehunt hongkong archaeologist basedonvideogame archeology,"['Angelina Jolie', 'Gerard Butler', 'Noah Taylor', 'Djimon Hounsou', 'Til Schweiger', 'Simon Yam', 'Daniel Caltagirone', 'Fabiano Martell', 'Robert Cavanah', 'Ronan Vibert', 'Chris Barrie', 'Jonny Coyne', 'Ciarán Hinds']",Jan de Bont
Now You See Me 2,"['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']",Action Adventure Comedy Crime Mystery Thriller londonengland china magic secretsociety vigilante sequel revenge heist ontherun macauchina magician,"['Jesse Eisenberg', 'Woody Harrelson', 'Mark Ruffalo', 'Dave Franco', 'Morgan Freeman', 'Michael Caine', 'Lizzy Caplan', 'Daniel Radcliffe', 'Jay Chou', 'Henry Lloyd-Hughes', 'Sanaa Lathan', 'Justine Wachsberger', 'Alexandra Fraser', 'David Warshofsky', 'Tsai Chin', 'Ben Lamb', 'Lasco Atkins', 'Amber Elizabeth', 'Alexander Cooper', 'Judit Novotnik', 'Richard Laing', 'Alexa Brown', 'William Henderson', 'Brick Patrick', 'Zach Gerard', 'Fenfen Huang', 'Aaron Ly', 'Cyd Casados', 'Jem Wilner', 'James Richard Marshall', 'Karl McMillan', 'Jim Pirri', 'Christopher Logan', 'Varada Sethu', 'Michael Walters', 'Simon Connolly', 'Dino Fetscher', 'Martin Delaney', 'Nichole Bird', 'Danielle Bird', 'Michael Cooke', 'John Cooke', 'Greg McKenzie', 'Michael McKenzie', 'Tai Yin Chan', 'Bruce Chong', 'Missy Malek', 'Krystal Ellsworth', 'Jessica Lee Keller', 'Krysada Phounsiri', 'Luis Rosado', 'Karl Hussain', 'Savannah Guthrie', 'Emmanuel Akwafo', 'Jozef Aoki', 'Mairead Armstrong', 'Alphonso Austin', 'Raj Awasti', 'David Olawale Ayinde', 'Gia Marie Barbera', 'Tim Baros', 'Lauren Beacham', 'Gintare Beinoraviciute', 'Marc Benanti', 'Paul Blackwell', 'Annarie Boor', 'Greg Brummel', 'David Burge', 'Perry Burke', 'Leona Carlo', 'Yue Ting Cheng', 'Richard Clark', 'Bern Collaco', 'Pamela Betsy Cooper', 'Tim Dayman', 'Andrew Dunkelberger', 'Cameron Edwards', 'Don Sebastian Fula', 'Jesse Michael Fullington', 'Alexander Furno', 'Kevin Fyfe', 'Melissa Galloway', 'Don Gayle', 'Gemma George', 'David Georgiou', 'Claire Greasley', 'Guna Gultniece', 'Mark Haldor', 'Jane Hardcastle', 'Lee Nicholas Harris', 'Richard Herdman', 'Vera Horton', 'Kornelia Horvath', 'Ty Hurley', 'Jahmilla Jackson', 'Dolly Jagdeo', 'Oliver Jolliffe', 'Zoey Callandria Jones', 'Vivien Kent', 'Attila G. Kerekes', 'Paul Kerry', 'Irina Klimovich', 'Nina Kumar', 'Candice Lam', 'Kim-Anh Le-Pham', 'Jorge Leon Martinez', 'Rogers Leona', 'Sonu Louis', 'Nada Maache', 'João Magalhães', 'Teresa Mahoney', 'Sid Man', 'Rita McDonald Damper', 'Erica Melargo', 'Andy Mihalache', 'Anthony Milton', 'Shina Shihoko Nagai', 'Celina Nessa', 'Emily Ng', 'Jason Nicholls', 'Kapish OJO', 'Tatsujiro Oto', 'Gloria Peñaranda', 'Lovell Richards', 'Boyd Rogers', 'Aaron Sequerah', 'Vinita Sharma', 'Clem So', 'Conny Stadler', 'Richard Stanley', 'A.k. Steppa', 'Vince Taylor', 'Nadia Townsend', 'Vassiliki Tzanakou', 'Maureen Warrington', 'Daniel Westwood', 'Jo Wheatley', 'Arthur Wilde', 'Evie Wray', 'Miroslav Zaruba', 'Tatiana Zarubova']",Jon M. Chu
The Saint,"['Thriller', 'Action', 'Romance', 'Science Fiction', 'Adventure']",Thriller Action Romance ScienceFiction Adventure berlin russia gas masterthief thesaint,"['Val Kilmer', 'Elisabeth Shue', 'Rade Serbedzija', 'Henry Goodman', 'Alun Armstrong', 'Michael Byrne', 'Yevgeni Lazarev', 'Irina Apeksimova', 'Lev Prygunov', 'Charlotte Cornwell', 'Emily Mortimer', 'Lucija Serbedzija', 'Velibor Topic', 'Tommy Flanagan', 'Egor Pazenko', 'Adam Smith', 'Pat Laffan', 'Verity-Jane Dearsley', 'Michael Marquez', 'Lorelei King', 'Alla Kazanskaya', 'Ronnie Letham', 'Tusse Silberg', 'Peter Guinness', 'Stefan Gryff', 'Malcolm Tierney', 'Christopher Rozycki', 'Valeriy Nikolaev']",Phillip Noyce
Spy Game,"['Action', 'Crime', 'Thriller']",Action Crime Thriller spy china cia coldwar,"['Robert Redford', 'Brad Pitt', 'Catherine McCormack', 'Stephen Dillane', 'Larry Bryggman', 'Marianne Jean-Baptiste', 'Matthew Marsh', 'Todd Boyce', 'Michael Paul Chan', 'Garrick Hagon', 'Andrew Grainger', 'Benedict Wong', 'Charlotte Rampling', 'Ken Leung']",Tony Scott
Mission to Mars,['Science Fiction'],ScienceFiction mars spacecraft spacetravel alien longtake outerspace astronaut dismemberment aliencontact trappedinspace,"['Gary Sinise', 'Tim Robbins', 'Don Cheadle', 'Connie Nielsen', ""Jerry O'Connell"", 'Peter Outerbridge', 'Kavan Smith', 'Jill Teed', 'Elise Neal', 'Kim Delaney', 'Armin Mueller-Stahl', 'Marilyn Norry', 'Freda Perry', 'Lynda Boyd', 'Patricia Harras', 'Robert Bailey Jr.', 'Britt McKillip']",Brian De Palma
Rio,"['Animation', 'Adventure', 'Comedy', 'Family']",Animation Adventure Comedy Family brazil pet bird musical canary samba animal duringcreditsstinger rio1 río1,"['Jesse Eisenberg', 'Anne Hathaway', 'Leslie Mann', 'Jane Lynch', 'Will.i.am', 'Wanda Sykes', 'George Lopez', 'Jamie Foxx', 'Rodrigo Santoro', 'Jemaine Clement', 'Jake T. Austin', 'Tracy Morgan', 'Carlos Ponce']",Carlos Saldanha
Bicentennial Man,"['Comedy', 'Science Fiction']",Comedy ScienceFiction android hologram freedom futuristic robot,"['Robin Williams', 'Sam Neill', 'Embeth Davidtz', 'Oliver Platt', 'Kiersten Warren', 'Wendy Crewson', 'Bradley Whitford', 'Lindze Letherman', 'Angela Landis', 'John Michael Higgins', 'Igor Hiller', 'Joe Bellan', 'Brett Wagner', 'Stephen Root', 'Hallie Kate Eisenberg', 'George Wallace', ""Tom O'Reilly""]",Chris Columbus
Volcano,"['Science Fiction', 'Action', 'Drama', 'Thriller']",ScienceFiction Action Drama Thriller subway lava volcano volcanologist losangeles,"['Tommy Lee Jones', 'Anne Heche', 'Gaby Hoffmann', 'Don Cheadle', 'Joshua Fardon', 'Jacqueline Kim', 'Keith David', 'John Corbett', 'Michael Rispoli', 'John Carroll Lynch', 'Marcello Thedford', 'Bert Kramer', 'Bo Eason', 'James MacDonald', 'Dayton Callie', 'Phil Nee']",Mick Jackson
The Devil's Own,"['Crime', 'Thriller', 'Drama']",Crime Thriller Drama newyork terrorist anonymity northernireland,"['Harrison Ford', 'Brad Pitt', 'Margaret Colin', 'Rubén Blades', 'Treat Williams', 'George Hearn', 'Mitchell Ryan', 'Natascha McElhone', 'Paul Ronan', 'Simon Jones', 'Julia Stiles', 'Ashley Carin', 'Kelly Singer', ""David O'Hara"", 'David Wilmot', 'Rob McElhenney', 'Chance Kelly']",Alan J. Pakula
K-19: The Widowmaker,"['Drama', 'History', 'Thriller']",Drama History Thriller submarine sovietunion coremelt northatlantic nuclear womandirector,"['Harrison Ford', 'Liam Neeson', 'Peter Sarsgaard', 'Joss Ackland', 'John Shrapnel', 'Donald Sumpter', 'Tim Woodward', 'Steve Nicolson', 'George Anton', 'James Francis Ginty', 'Lex Shrapnel', 'Ingvar Eggert Sigurðsson', 'Sam Spruell', 'Sam Redford', 'Peter Stebbings', 'Roman Podhora', 'Shaun Benson', 'Dmitry Chepovetsky', 'Christopher Redman', 'Tygh Runyan', 'Peter Graham', 'Shawn Mathieson', 'Jacob Pitts', 'Christopher Routh', 'Lubomir Mykytiuk', 'Michael Gladis', 'Christian Camargo', 'Ravil Isyanov', 'Kristen Holden-Ried']",Kathryn Bigelow
Conan the Barbarian,"['Adventure', 'Fantasy', 'Action']",Adventure Fantasy Action gladiator repayment despot barbarian swordandsorcery,"['Arnold Schwarzenegger', 'James Earl Jones', 'Max von Sydow', 'Sandahl Bergman', 'Cassandra Gava', 'Ben Davidson', 'Gerry Lopez', 'Mako', 'Valérie Quennessen', 'William Smith', 'Luis Barboo', 'Franco Columbu', 'Nadiuska', 'Jack Taylor', 'Sven-Ole Thorsen', 'Pilar Alcón', 'Jorge Sanz']",John Milius
Cinderella Man,"['Romance', 'Drama', 'History']",Romance Drama History transporter netherlands worldcup sociallydeprivedfamily family'sdailylife boxer boxingmatch comeback training heavyweight folkhero biography daughter defeat sport,"['Russell Crowe', 'Renée Zellweger', 'Paul Giamatti', 'Craig Bierko', 'Paddy Considine', 'Bruce McGill', 'David Huband', 'Connor Price', 'Ariel Waller', 'Patrick Louis', 'Rosemarie DeWitt', 'Linda Kash', 'Nicholas Campbell', 'Gene Pyrz', 'Chuck Shamata', 'Ron Canada', 'Matthew G. Taylor', 'Rance Howard', 'James Ritz', 'Fulvio Cecere', 'Clint Howard', 'Ken James', 'Rufus Crawford', 'Wayne Gordon', 'Nick Alachiotis', 'Stuart Clark', 'Eric Fink', 'Sergio Di Zio', 'Gavin Grazer', 'Boyd Banks', 'Daniel Kash', 'Judah Katz', 'Angelo Tsarouchas', 'Robert Smith', 'Aaron Abrams', 'Duff MacDonald', 'Christopher Crumb', 'Gerry Quigley', 'Peter MacNeill', 'Darrin Brown', 'James Kirchner', 'Nola Augustson', 'Gino Marrocco', 'Alec Stockwell', 'Chick Roberts', 'Isabella Fink', 'Beau Starr', 'Philip Craig', 'Roman Podhora', 'R.D. Reid', 'Michael Dyson', 'Sam Malkin', 'Tony Munch', 'Conrad Bergschneider', 'Richard Binsley', 'Ramona Pringle', 'Alon Nashman', 'Dominic Cuzzocrea', 'Neil Foster', 'Brian Jagersky', 'Tim Eddis', 'Krysta Carter', 'Rick Cordeiro', 'Riva Di Paola', 'Andrew Priestman', 'Michael Stevens', 'Egidio Tari', 'Mark Falvo']",Ron Howard
The Nutcracker: The Untold Story,"['Fantasy', 'Action', 'Family']",Fantasy Action Family ,"['Elle Fanning', 'Nathan Lane', 'John Turturro', 'Frances de la Tour', 'Charlie Rowe', 'Aaron Michael Drozin', 'Richard E. Grant', 'Yuliya Vysotskaya', 'Jonny Coyne', 'Shirley Henderson', 'Richard Philipps', 'Fernanda Dorogi']",Andrei Konchalovsky
Seabiscuit,"['Drama', 'History']",Drama History horserace americandream racehorse greatdepression,"['Jeff Bridges', 'David McCullough', 'Chris Cooper', 'Tobey Maguire', 'Elizabeth Banks', 'Gary L. Stevens', 'William H. Macy', 'Royce D. Applegate', 'Eddie Jones', 'Chris McCarron', 'Michael Ensign', 'Jesse Hernandez']",Gary Ross
Twister,"['Action', 'Adventure', 'Drama']",Action Adventure Drama wifehusbandrelationship tornado twister oklahoma metereologist invention climate barn naturaldisaster cow truck disaster auntniecerelationship stormchaser divorce,"['Helen Hunt', 'Bill Paxton', 'Cary Elwes', 'Jami Gertz', 'Philip Seymour Hoffman', 'Lois Smith', 'Alan Ruck', 'Sean Whalen', 'Scott Thomson', 'Todd Field', 'Joey Slotnick', 'Wendle Josepher', 'Jeremy Davies', 'Zach Grenier', 'Gregory Sporleder', 'Alexa PenaVega']",Jan de Bont
Cast Away,"['Adventure', 'Drama']",Adventure Drama exoticisland suicideattempt volleyball loneliness airplanecrash desertedisland tropicalisland survivalskills,"['Tom Hanks', 'Helen Hunt', 'Chris Noth', 'Paul Sanchez', 'Lari White', 'Leonid Citer', 'David Allen Brooks', 'Semion Sudarikov', 'Peter von Berg', 'Dmitri S. Boudrine', 'Nick Searcy', 'François Duhamel', 'Michael Forest', 'Lauren Birkell']",Robert Zemeckis
Happy Feet,"['Animation', 'Comedy']",Animation Comedy ocean fish zoo penguin tapdancing love crush snow anthropomorphism singing antarctica family duringcreditsstinger,"['Elijah Wood', 'Robin Williams', 'Brittany Murphy', 'Hugh Jackman', 'Nicole Kidman', 'Hugo Weaving', 'Anthony LaPaglia', 'E.G. Daily', 'Magda Szubanski', 'Miriam Margolyes', 'Carlos Alazraqui', 'Lombardo Boyar', 'Jeffrey Garcia', 'Johnny A. Sanchez', 'Fat Joe', 'Alyssa Shafer', 'Cesar Flores', 'Danny Mann', 'Mark Klastorin', 'Michael Cornacchia']",George Miller
The Bourne Supremacy,"['Action', 'Drama', 'Thriller']",Action Drama Thriller berlin assassin basedonnovel amnesia sniper lie sequel suspense ontherun shootout espionage violence footchase carchase explodinghouse thoughguy oneagainstmany railcar darkpast moscow handtohandcombat,"['Matt Damon', 'Franka Potente', 'Brian Cox', 'Julia Stiles', 'Karl Urban', 'Gabriel Mann', 'Joan Allen', 'Marton Csokas', 'Tom Gallop', 'John Bedford Lloyd', 'Ethan Sandler', 'Michelle Monaghan', 'Karel Roden', 'Tomas Arana', 'Oksana Akinshina', 'Yevgeni Sitokhin', 'Marina Weis', 'Tim Griffin', 'Sean Smith', 'Maxim Kovalevski', 'Patrick Crowley', 'Jon Collin Barclay', 'Sam Brown', 'Shane Sinutko', 'Barnaby Smith', 'Dominique Chiout', 'Wanja Mues', 'Aleksey Shmarinov', 'Stephan Wolf-Schönburg', 'Olov Ludwig', 'Keshav Nadkarni', 'Violetta Gräfin Tarnowska Bronner', 'Aleksey Medvedev', 'Aleksandr Dubina', 'Aleksandr Boev', 'Claudio Maniscalco', 'Manfred Witt', 'Aleksey Trotsenko', 'Victoria Unikel', 'Oksana Semenova', 'Vitaliy Abdulov', 'Dirk Schoedon', 'Ivan Shvedoff', 'Denis Burgazliev', 'Nick Wilder', 'Chris Cooper']",Paul Greengrass
Air Force One,"['Action', 'Thriller']",Action Thriller prison corruption journalist whitehouse hostage ultimatum hostage-taking airforceone aerialcombat conspiracy gunfight fighterplane secretservice americanpresident handtohandcombat negotiation politicalprisoner airplanehijack,"['Harrison Ford', 'Gary Oldman', 'Glenn Close', 'Wendy Crewson', 'William H. Macy', 'Jürgen Prochnow', 'Oleg Taktarov', 'Liesel Matthews', 'Paul Guilfoyle', 'Xander Berkeley', 'Dean Stockwell', 'Tom Everett', 'Donna Bullock', 'Michael Ray Miller', 'Carl Weintraub', 'Elester Latham', 'Elya Baskin', 'Levan Uchaneishvili', 'David Vadim', 'Andrew Divoff', 'Ilia Volok', 'Chris Howell', 'Spencer Garrett', 'Bill Smitrovich', 'Philip Baker Hall', 'Willard E. Pugh', 'Michael Monks', 'Fenton Lawless', 'Dan Shor', 'David Gianopoulos', 'Glenn Morshower', 'Don McManus', 'Brian Libby', 'Diana Bellamy', 'Thom Barry', 'E.E. Bell', 'Boris Lee Krutonog', 'Alex Veadov']",Wolfgang Petersen
Ocean's Eleven,"['Thriller', 'Crime']",Thriller Crime prison pickpocket stripclub conartist atlanticcity cockneyaccent lasvegas carddealer explosivesexpert blackandwhitescene male saltlakecityutah,"['George Clooney', 'Brad Pitt', 'Matt Damon', 'Andy García', 'Julia Roberts', 'Casey Affleck', 'Scott Caan', 'Carl Reiner', 'Bernie Mac', 'Elliott Gould', 'Eddie Jemison', 'Shaobo Qin', 'Scott L. Schwartz', 'Scott Beringer', 'Henry Silva', 'Holly Marie Combs', 'Steven Soderbergh', 'Kerry Rossall', 'Tim Perez', 'Rusty Meyers', 'Don Cheadle', 'Shane West', 'Joe La Due']",Steven Soderbergh
The Three Musketeers,"['Adventure', 'Action', 'Thriller']",Adventure Action Thriller numberintitle historicalfiction musketeer 17thcentury 3d,"['Milla Jovovich', 'Orlando Bloom', 'Logan Lerman', 'Ray Stevenson', 'Matthew Macfadyen', 'Luke Evans', 'Mads Mikkelsen', 'Christoph Waltz', 'Freddie Fox', 'Gabriella Wilde', 'Juno Temple', 'Til Schweiger', 'James Corden', 'Dexter Fletcher', 'Christian Oliver']",Paul W.S. Anderson
Hotel Transylvania,"['Animation', 'Comedy', 'Family', 'Fantasy']",Animation Comedy Family Fantasy witch magic mummy vampire dracula skeleton backpacker frankenstein wolfman zombie invisibleman duringcreditsstinger nosferatu protectivefather fangvamp,"['Adam Sandler', 'Steve Buscemi', 'David Spade', 'Kevin James', 'Selena Gomez', 'Andy Samberg', 'Fran Drescher', 'Molly Shannon', 'Cee Lo Green', 'Jon Lovitz', 'Rick Kavanian', 'Elyas M’Barek', 'Josefine Preuß', 'Sadie Sandler', 'Jackie Sandler', 'Brian Stack', 'Chris Parnell', 'Robert Smigel', 'Rob Riggle', 'Paul Brittain', 'Brian McCann', 'Jonny Solomon', 'Jim Wise', 'James C.J. Williams']",Genndy Tartakovsky
Enchanted,"['Comedy', 'Family', 'Fantasy', 'Romance']",Comedy Family Fantasy Romance poison queen fairytale musical princess portal animation fantasyworld evilwitch partanimation,"['Amy Adams', 'Patrick Dempsey', 'James Marsden', 'Timothy Spall', 'Rachel Covey', 'Susan Sarandon', 'Idina Menzel', 'Julie Andrews', 'Jeff Bennett', 'Kevin Lima', 'Emma Rose Lima', 'Teala Dunn', 'Fred Tatasciore', 'Courtney Williams', 'William Huntley']",Kevin Lima
Safe House,"['Action', 'Thriller']",Action Thriller cia violence safehouse rogueagent capetownsouthafrica soccerstadium,"['Denzel Washington', 'Ryan Reynolds', 'Vera Farmiga', 'Joel Kinnaman', 'Brendan Gleeson', 'Sam Shepard', 'Nora Arnezeder', 'Liam Cunningham', 'Fares Fares', 'Jenna Dover', 'Stephen Rider', 'Daniel Fox', 'Tracie Thoms', 'Robert Patrick', 'Rubén Blades', 'Stephen Bishop', 'Tanit Phoenix']",Daniel Espinosa
102 Dalmatians,"['Comedy', 'Family']",Comedy Family londonengland prison releasefromprison women'sprison societyforthepreventionofcrueltytoanimals puppy pelz dog dalmatian,"['Glenn Close', 'Ioan Gruffudd', 'Alice Evans', 'Tim McInnerny', 'Gérard Depardieu']",Kevin Lima
Tower Heist,"['Action', 'Comedy']",Action Comedy skyscraper thanksgiving billionaire parade fbiagent apartment highrise femaleagent ponzischeme emptysafe capercomedy planning safecracker recruiting heistmovie deceit lobby,"['Ben Stiller', 'Eddie Murphy', 'Casey Affleck', 'Alan Alda', 'Matthew Broderick', 'Téa Leoni', 'Judd Hirsch', 'Gabourey Sidibe', 'Stephen Henderson', 'Michael Peña', 'Nina Arianda', 'Marcia Jean Kurtz', 'Juan Carlos Hernández', ""Harry O'Reilly"", 'James Colby', 'Peter Van Wagner', 'Zeljko Ivanek', 'Robert Downey Sr.', 'Clem Cheung', 'Annika Pergament', 'Lynne Rossetto Kasper', 'Kate Upton', 'Jessica Szohr', 'Judianny Compres', 'Veronika Korvin', 'Johnny Tran', 'Julie T. Pham', 'Bojun Wang', 'Spencer Malnik', 'Nathan Asher Malnik', 'Jarod Malnik', 'Christina Jacquelyn Calph', 'Kevin Pariseau', 'Desmin Borges', 'Omar Nicodemo', 'Brian Distance', 'Village', 'Les Papp II', 'Christopher Rivaro', 'Craig Castaldo', 'Heavy D', 'Robert Clohessy', 'Paul Hickert', 'Kelvin Davis', 'Christopher Breslin', 'Ty Jones', 'Ted Lochwyn', 'Troy Hall', 'Juanita Howard', 'Monika Plocienniczak', 'Frank Pesce', 'Bob Roseman', 'Alix Cross', 'Skyler Wright', 'Barbara Vincent']",Brett Ratner
The Holiday,"['Comedy', 'Romance']",Comedy Romance holiday londonengland filmmaking christmasparty countryhouse roomexchange surrey romanticcomedy losangeles multiplestorylines womandirector christmas,"['Cameron Diaz', 'Kate Winslet', 'Jude Law', 'Jack Black', 'Eli Wallach', 'Edward Burns', 'Rufus Sewell', 'Miffy Englefield', 'Emma Pritchard', 'Sarah Parish', 'Shannyn Sossamon', 'Bill Macy', 'Shelley Berman', 'Kathryn Hahn', 'John Krasinski', 'Odette Annable', ""Alex O'Loughlin"", 'Dustin Hoffman', 'Lydia Blanco Garza', 'James Franco', 'Lindsay Lohan']",Nancy Meyers
Enemy of the State,"['Action', 'Drama', 'Thriller']",Action Drama Thriller corruption washingtond.c. helicopter falselyaccused identity mexicanstandoff blackmail intelligence wiretap satellite nationalsecurityagency(nsa) politics explodingbuilding suspense mystery mafia conspiracy lawyer crime privacy surveillance baltimoremaryland secrethideout,"['Will Smith', 'Gene Hackman', 'Jon Voight', 'Regina King', 'Ian Hart', 'Lisa Bonet', 'Barry Pepper', 'James Le Gros', 'Jake Busey', 'Scott Caan', 'Jamie Kennedy', 'Jason Lee', 'Gabriel Byrne', 'Jascha Washington', 'Stuart Wilson', 'Jack Black', 'Anna Gunn', 'Laura Cayouette', 'Loren Dean', 'Bodhi Elfman', 'Dan Butler', 'Grant Heslov', 'Ivana Miličević', 'Seth Green', 'Philip Baker Hall', 'Jason Robards', 'Tom Sizemore', 'Brian Markinson', 'Larry King', 'Tom Quinn', 'Brenna McDonough', 'Bobby Boriello', 'Carl Mergenthaler', 'Donna W. Scott', 'Allison Sie', 'Lillo Brancato', 'John Capodice', 'Arthur J. Nascarella', 'Frank Medrano', 'Joseph Patrick Kelly', 'Lennox Brown', 'Nancy Yee', 'Christopher Lawrence', 'Tom Sizemore']",Tony Scott
It's Complicated,"['Comedy', 'Romance']",Comedy Romance graduation exhusband womandirector,"['Meryl Streep', 'Alec Baldwin', 'Steve Martin', 'John Krasinski', 'Lake Bell', 'Mary Kay Place', 'Rita Wilson', 'Alexandra Wentworth', 'Hunter Parrish', 'Zoe Kazan', 'Caitlin Fitzgerald', 'Emjay Anthony', 'Nora Dunn', 'Bruce Altman', 'Robert Curtis Brown', 'James Patrick Stuart', 'Peter MacKenzie', 'Sean Hamrin', 'Emily Kinney', 'Valente Rodriguez', 'Marina Squerciati', 'Blanchard Ryan', 'Geneva Carr', 'Jennifer Restivo', 'Dana Power']",Nancy Meyers
Ocean's Thirteen,"['Crime', 'Thriller']",Crime Thriller casino thief revenge heist lasvegas pretendingtoberich laborstrike,"['George Clooney', 'Brad Pitt', 'Matt Damon', 'Al Pacino', 'Bernie Mac', 'Andy García', 'Casey Affleck', 'Scott Caan', 'Carl Reiner', 'Don Cheadle', 'Shaobo Qin', 'Eddie Jemison', 'Elliott Gould', 'Ellen Barkin', 'Eddie Izzard', 'Vincent Cassel', 'Bob Einstein', 'Céline Dion', 'Nancy Stelle', 'Tim Conlon', 'Julian Sands', 'David Paymer', 'Angel Oquendo', 'Kari Hawker-Diaz', 'Amber Hay']",Steven Soderbergh
Open Season,"['Adventure', 'Animation', 'Family']",Adventure Animation Family hunter mountains garage grizzlybear bunny chase forest deer bear hunt,"['Martin Lawrence', 'Ashton Kutcher', 'Gary Sinise', 'Debra Messing', 'Billy Connolly', 'Georgia Engel', 'Jon Favreau', 'Jane Krakowski', 'Gordon Tootoosis', 'Patrick Warburton', 'Cody Cameron', 'Nika Futterman', 'Danny Mann', 'Jack McGee', 'Michelle Murdocca', 'Fergal Reilly', 'Jackie Harris']",Jill Culton
Divergent,"['Adventure', 'Action', 'Science Fiction']",Adventure Action ScienceFiction basedonnovel dystopia youth dystopicfuture castesystem divergent basedonyoungadultnovel,"['Shailene Woodley', 'Theo James', 'Kate Winslet', 'Miles Teller', 'Ray Stevenson', 'Maggie Q', 'Zoë Kravitz', 'Ansel Elgort', 'Jai Courtney', 'Ashley Judd', 'Tony Goldwyn', 'Mekhi Phifer', 'Ben Lloyd-Hughes', 'Christian Madsen', 'Amy Newbold', 'Parker Mack', 'Brandon Cyrus', 'Janet Ulrich Brooks', 'Yasmine Aker', 'Nathan Geist', 'Jaiden Hidalgo']",Neil Burger
Enemy at the Gates,['War'],War winter sniper worldwarii stalingrad,"['Jude Law', 'Rachel Weisz', 'Ed Harris', 'Joseph Fiennes', 'Bob Hoskins', 'Ron Perlman', 'Eva Mattes', 'Gabriel Thomson', 'Matthias Habich', 'Alexander Schwan', 'Lenn Kudrjawizki', 'Gennadi Vengerov', 'Dan van Husen', 'Ivan Shvedoff', 'Sophie Rois', 'Mikhail Matveev']",Jean-Jacques Annaud
The Rundown,"['Adventure', 'Action', 'Comedy', 'Thriller']",Adventure Action Comedy Thriller hunter bounty bountyhunter fight amazon treasurehunt jungle,"['Dwayne Johnson', 'Seann William Scott', 'Rosario Dawson', 'Christopher Walken', 'Ernie Reyes, Jr.', 'Ewen Bremner', 'Jon Gries', 'William Lucking', 'Stuart F. Wilson', 'Dennis Keiffer', 'Garrett Warren', 'Toby Holguin', 'Stephen Bishop', 'Paul S. Power', 'Chuck Norman', 'Jamal Duff', 'John Duff', 'Jeff Chase', 'Price Jackson', 'Anthony Diaz-Perez', 'Arnold Schwarzenegger']",Peter Berg
Last Action Hero,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",Adventure Fantasy Action Comedy Family magic movieinmovie spoof magicalobject cartooncat ticket self-referential projectionist child'spointofview,"['Arnold Schwarzenegger', 'F. Murray Abraham', 'Art Carney', 'Charles Dance', 'Frank McRae', 'Tom Noonan', 'Anthony Quinn', 'Mercedes Ruehl', ""Austin O'Brien"", 'Robert Prosky', 'Ian McKellen', 'Joan Plowright', 'Leeza Gibbons', 'Tina Turner', 'Noah Emmerich', 'Colleen Camp', 'Danny DeVito', 'Jean-Claude Van Damme', 'Bridgette Wilson', 'Michael V. Gazzo', 'Chevy Chase', 'Jim Belushi']",John McTiernan
Memoirs of a Geisha,"['Drama', 'History', 'Romance']",Drama History Romance japan prostitute sistersisterrelationship brothel worldwarii geisha,"['Zhang Ziyi', 'Gong Li', 'Youki Kudoh', 'Tsai Chin', 'Suzuka Ohgo', 'Ken Watanabe', 'Michelle Yeoh', 'Navia Nguyen', 'Koji Yakusho', 'Kaori Momoi', 'Zoe Weizenbaum', 'Cary-Hiroyuki Tagawa', 'Kenneth Tsang', 'Randall Duk Kim', 'Paul Adelstein', 'Ted Levine', 'Samantha Futerman', 'Karl Yune', 'Togo Igawa', 'Elizabeth Sung', 'Eugenia Yuan']",Rob Marshall
